Term,Land Use,Definition
Boat Shed,,"Means a building or other structure used for the storage and routine maintenance of a boat or boats and that is associated with a private dwelling or non-profit organisation, and includes any skid used in connection with the building or other structure."
Brothel,,Has the same meaning as in the Act.Note— This definition is relevant to the definitions of home occupation (sex services) and sex services premises in this Dictionary.
Building,No,"Has the same meaning as in the Act.Note— The term is defined to include part of a building and any structure or part of a structure, but not including a manufactured home, a moveable dwelling or associated structure (or part of a manufactured home, moveable dwelling or associated structure)."
Building Height,No,"(or height of building) means— (a) in relation to the height of a building in metres—the vertical distance from ground level (existing) to the highest point of the building, or (b) in relation to the RL of a building—the vertical distance from the Australian Height Datum to the highest point of the building, including plant and lift overruns, but excluding communication devices, antennae, satellite dishes, masts, flagpoles, chimneys, flues and the like."
Building Identification Sign,No,"Means a sign that identifies or names a building and that may include the name of a building, the street name and number of a building, and a logo or other symbol but does not include general advertising of products, goods or services.Note— Building identification signs are a type of signage—see the definition of that term in this Dictionary."
Building Line,No,"Or setback means the horizontal distance between the property boundary or other stated boundary (measured at 90 degrees from the boundary) and— (a) a building wall, or (b) the outside face of any balcony, deck or the like, or (c) the supporting posts of a carport or verandah roof, whichever distance is the shortest."
Bush Fire Hazard Reduction Work,No,"Has the same meaning as in the Rural Fires Act 1997.Note— The term is defined as follows— bush fire hazard reduction work means— (a) the establishment or maintenance of fire breaks on land, and (b) the controlled application of appropriate fire regimes or other means for the reduction or modification of available fuels within a predetermined area to mitigate against the spread of a bush fire, but does not include construction of a track, trail or road."
Bush Fire Prone Land,No,"Has the same meaning as in the Act.Note— The term is defined, in relation to an area, as land recorded for the time being as bush fire prone land on a map for the area certified as referred to in section 10.3(2) of the Act."
Bush Fire Risk Management Plan,No,Means a plan prepared under Division 4 of Part 3 of the Rural Fires Act 1997 for the purpose referred to in section 54 of that Act.
Business Identification Sign,No,"Means a sign— (a) that indicates— (i) the name of the person or business, and (ii) the nature of the business carried on by the person at the premises or place at which the sign is displayed, and (b) that may include the address of the premises or place and a logo or other symbol that identifies the business, but that does not contain any advertising relating to a person who does not carry on business at the premises or place.Note— Business identification signs are a type of signage—see the definition of that term in this Dictionary."
Business Premises,,"Means a building or place at or on which— (a) an occupation, profession or trade (other than an industry) is carried on for the provision of services directly to members of the public on a regular basis, or (b) a service is provided directly to members of the public on a regular basis, and includes funeral homes, goods repair and reuse premises and, without limitation, premises such as banks, post offices, hairdressers, dry cleaners, travel agencies, betting agencies and the like, but does not include an entertainment facility, home business, home occupation, home occupation (sex services), medical centre, restricted premises, sex services premises or veterinary hospital.Note— Business premises are a type of commercial premises—see the definition of that term in this Dictionary."
Camping Ground,,"Means an area of land, with access to communal amenities, used for the short term placement of campervans, tents, annexes or other similar portable and lightweight temporary shelters for accommodation and includes a primitive camping ground but does not include— (a) a caravan park, or (b) farm stay accommodation."
Canal Estate Development,,"Means development that involves— (a) a constructed canal, or other waterway or waterbody, that— (i) is inundated by surface water or groundwater movement, or (ii) drains to a waterway or waterbody by surface water or groundwater movement, and (b) the erection of a dwelling, and (c) one or both of the following— (i) the use of fill material to raise the level of all or part of the land on which the dwelling will be erected to comply with requirements for residential development in the flood planning area, (ii) excavation to create a waterway."
Car Park,,"Means a building or place primarily used for the purpose of parking motor vehicles, including any manoeuvring space and access thereto, whether operated for gain or not."
Caravan Park,,"Means an area of land, with access to communal amenities, used for the installation or placement of caravans, or caravans and other moveable dwellings, but does not include farm stay accommodation."
Catchment Action Plan,No,Has the same meaning as in the Catchment Management Authorities Act 2003.Note— The term is defined as a catchment action plan of an authority that has been approved by the Minister under Part 4 of the Catchment Management Authorities Act 2003.
Cellar Door Premises,,"Means a building or place that is used to sell wine by retail and that is situated on land on which there is a commercial vineyard, and where most of the wine offered for sale is produced in a winery situated on that land or is produced predominantly from grapes grown in the surrounding area.Note— Cellar door premises are a type of farm gate premises—see the definition of that term in this Dictionary."
Cemetery,,"Means a building or place used primarily for the interment of deceased persons or pets or their ashes, whether or not it contains an associated building for conducting memorial services."
Centre-based Child Care Facility,,"Means— (a) a building or place used for the education and care of children that provides any one or more of the following— (i) long day care, (ii) occasional child care, (iii) out-of-school-hours care (including vacation care), (iv) preschool care, or (b) an approved family day care venue (within the meaning of the Children (Education and Care Services) National Law (NSW)), Note— An approved family day care venue is a place, other than a residence, where an approved family day care service (within the meaning of the Children (Education and Care Services) National Law (NSW)) is provided.But does not include— (c) a building or place used for home-based child care or school-based child care, or (d) an office of a family day care service (within the meanings of the Children (Education and Care Services) National Law (NSW)), or (e) a babysitting, playgroup or child-minding service that is organised informally by the parents of the children concerned, or (f) a child-minding service that is provided in connection with a recreational or commercial facility (such as a gymnasium) to care for children while the children’s parents are using the facility, or (g) a service that is concerned primarily with providing lessons or coaching in, or providing for participation in, a cultural, recreational, religious or sporting activity, or providing private tutoring, or (h) a child-minding service that is provided by or in a health services facility, but only if the service is established, registered or licensed as part of the institution operating in the facility.Note— Centre-based child care facilities are a type of early education and care facility—see the definition of that term in this Dictionary."
Charter And Tourism Boating Facility,,"Means any facility (including a building or other structure) used for charter boating or tourism boating purposes, being a facility that is used only by the operators of the facility and that has a direct structural connection between the foreshore and the waterway, but does not include a marina."
Classified Road,,"Has the same meaning as in the Roads Act 1993.Note— The term is defined as follows— classified road means any of the following— (a) a main road, (b) a highway, (c) a freeway, (d) a controlled access road, (e) a secondary road, (f) a tourist road, (g) a tollway, (h) a transitway, (i) a State work.(See Roads Act 1993 for meanings of these terms.)"
Clearing Native Vegetation,No,Has the same meaning as in Part 5A of the Local Land Services Act 2013.
Clearing Vegetation,No,"Has the same meaning as in State Environmental Planning Policy (Biodiversity and Conservation) 2021, Chapter 2."
Co-living Housing,,"Means a building or place that— (a) has at least 6 private rooms, some or all of which may have private kitchen and bathroom facilities, and (b) provides occupants with a principal place of residence for at least 3 months, and (c) has shared facilities, such as a communal living room, bathroom, kitchen or laundry, maintained by a managing agent, who provides management services 24 hours a day, but does not include backpackers’ accommodation, a boarding house, a group home, hotel or motel accommodation, seniors housing or a serviced apartment.Note— Co-living housing is a type of residential accommodation—see the definition of that term in this Dictionary."
Coastal Hazard,No,Has the same meaning as in the Coastal Management Act 2016.
Coastal Lake,No,"Means a body of water identified in State Environmental Planning Policy (Resilience and Hazards) 2021, Schedule 1."
Coastal Protection Works,No,Has the same meaning as in the Coastal Management Act 2016.
Coastal Waters Of The State,No,—see section 58 of the Interpretation Act 1987.
Coastal Zone,No,Has the same meaning as in the Coastal Management Act 2016.
Commercial Farm,,"Means a farm on which agriculture is undertaken that is— (a) on land categorised as farmland under the Local Government Act 1993, section 515, or (b) a primary production business within the meaning of the Income Tax Assessment Act 1997 of the Commonwealth, or part of a primary production business, including a business that— (i) was a primary production business, and (ii) has temporarily ceased to be a primary production business because of a natural disaster, including a drought, flood or bush fire."
Commercial Premises,,—see the definition of that term in this Dictionary.
Community Facility,,"Means a building or place— (a) owned or controlled by a public authority or non-profit community organisation, and (b) used for the physical, social, cultural or intellectual development or welfare of the community, but does not include an educational establishment, hospital, retail premises, place of public worship or residential accommodation."
Community Land,,Has the same meaning as in the Local Government Act 1993.
Considering Flooding In Land Use Planning Guideline,No,"Means the Considering Flooding in Land Use Planning Guideline published on the Department’s website on 14 July 2021.Flood planning area has the same meaning as it has in the Flood Risk Management Manual.Flood Risk Management Manual means the Flood Risk Management Manual, ISBN 978-1-923076-17-4, published by the NSW Government in June 2023."
Correctional Centre,,"Means— (a) any premises declared to be a correctional centre by a proclamation in force under section 225 of the Crimes (Administration of Sentences) Act 1999, including any juvenile correctional centre or periodic detention centre, and (b) any premises declared to be a detention centre by an order in force under section 5(1) of the Children (Detention Centres) Act 1987, but does not include any police station or court cell complex in which a person is held in custody in accordance with any Act."
Council,No,Means the [name of the Council for the relevant local government area].
Creative Industry,,"Means a building or place the principal purpose of which is to produce or demonstrate arts, crafts, design or other creative products, and includes artists’ studios, recording studios, and set design and production facilities.Note— Creative industries are a type of light industry—see the definition of that term in this Dictionary."
Crematorium,,"Means a building or place in which deceased persons or pets are cremated or processed by alkaline hydrolysis, whether or not the building or place contains an associated building for conducting memorial services."
Critical Level,No,"Means the level at which the quantity of artificial light in the night sky measured through a telescope at the Siding Spring Observatory is greater than— (a) if the telescope is inclined at 30 degrees from the horizon—10% of the surface brightness of the night sky attributable to natural light sources, at the time of the solar cycle when the sky is at its darkest, or (b) if the telescope is inclined at 90 degrees from the horizon—3% of the surface brightness of the night sky attributable to natural light sources, at the time of the solar cycle when the sky is at its darkest."
Curtilage,No,", in relation to a heritage item or conservation area, means the area of land (including land covered by water) surrounding a heritage item, a heritage conservation area, or building, work or place within a heritage conservation area, that contributes to its heritage significance."
Dairy (pasture-based),,Means a dairy that is conducted on a commercial basis where the only restriction facilities present are milking sheds and holding yards and where cattle generally feed by grazing on living grasses and other plants on the land and are constrained for no more than 10 hours in any 24 hour period (excluding during any period of drought or similar emergency relief).Note— Dairies (pasture-based) are a type of extensive agriculture—see the definition of that term in this Dictionary.
Dairy (restricted),,Means a dairy that is conducted on a commercial basis where restriction facilities (in addition to milking sheds and holding yards) are present and where cattle have access to grazing for less than 10 hours in any 24 hour period (excluding during any period of drought or similar emergency relief).It may comprise the whole or part of a restriction facility.Note— Dairies (restricted) are a type of intensive livestock agriculture—see the definition of that term in this Dictionary.
Data Centre,,"Means a building or place the principal purpose of which is to collect, distribute, process or store electronic data using information technology.Note— Data centres are a type of high technology industry—see the definition of that term in this Dictionary."
Defence Communications Facility Buffer Land,No,Means land shown as defence communications facility buffer land on the Defence Communications Facility Buffer Map.Defence Communications Facility Buffer Map means the [Name of local government area or other relevant name] Local Environmental Plan [Year] Defence Communications Facility Buffer Map.
Defence Communications Facility Buffer Map,No,Means the [Name of local government area or other relevant name] Local Environmental Plan [Year] Defence Communications Facility Buffer Map.
Demolish,No,", in relation to a heritage item or an Aboriginal object, or a building, work, relic or tree within a heritage conservation area, means wholly or partly destroy, dismantle or deface the heritage item, Aboriginal object or building, work, relic or tree."
Depot,,"Means a building or place used for the storage (but not sale or hire) of plant, machinery or other goods (that support the operations of an existing undertaking) when not required for use, but does not include a farm building."
Disturb,No,"Public bushland means— (a) remove vegetation from public bushland, or (b) cause a change in the natural ecology of public bushland that results in the destruction or degradation of the public bushland.Non-native plant means a plant that is not native vegetation.Public bushland means land— (a) on which there is vegetation that is— (i) a remainder of the natural vegetation of the land, or (ii) representative of the structure and floristics of the natural vegetation of the land, and (b) that is owned, managed or reserved for open space or environmental conservation by the Council or a public authority."
Drainage,No,"Means any activity that intentionally alters the hydrological regime of any locality by facilitating the removal of surface or ground water.It may include the construction, deepening, extending, opening, installation or laying of any canal, drain or pipe, either on the land or in such a manner as to encourage drainage of adjoining land."
Dual Occupancy,,Means a dual occupancy (attached) or a dual occupancy (detached).Note— Dual occupancies are a type of residential accommodation—see the definition of that term in this Dictionary.
Dual Occupancy (attached),,"Means 2 dwellings on one lot of land that are attached to each other, but does not include a secondary dwelling.Note— Dual occupancies (attached) are a type of dual occupancy—see the definition of that term in this Dictionary."
Dual Occupancy (detached),,"Means 2 detached dwellings on one lot of land, but does not include a secondary dwelling.Note— Dual occupancies (detached) are a type of dual occupancy—see the definition of that term in this Dictionary."
Dwelling,,Means a room or suite of rooms occupied or used or so constructed or adapted as to be capable of being occupied or used as a separate domicile.
Dwelling House,,Means a building containing only one dwelling.Note— Dwelling houses are a type of residential accommodation—see the definition of that term in this Dictionary.
Early Education And Care Facility,,—see the definition of that term in this Dictionary.
Earthworks,,Means excavation or filling.
Eco-tourist Facility,,"Means a building or place that— (a) provides temporary or short-term accommodation to visitors on a commercial basis, and (b) is located in or adjacent to an area with special ecological or cultural features, and (c) is sensitively designed and located so as to minimise bulk, scale and overall physical footprint and any ecological or visual impact.It may include facilities that are used to provide information or education to visitors and to exhibit or display items.Note— See clause 5.13 for requirements in relation to the granting of development consent for eco-tourist facilities.Eco-tourist facilities are not a type of tourist and visitor accommodation—see the definition of that term in this Dictionary."
Ecologically Sustainable Development,,Has the same meaning as in the Act.
Educational Establishment,,"Means a building or place used for education (including teaching), being— (a) a school, or (b) a tertiary institution, including a university or a TAFE establishment, that provides formal education and is constituted by or under an Act."
Electricity Generating Works,,"Means a building or place used for the purpose of— (a) making or generating electricity, or (b) electricity storage."
Emergency Services Facility,,Means a building or place (including a helipad) used in connection with the provision of emergency services by an emergency services organisation.
Emergency Services Organisation,,"Means any of the following— (a) Ambulance Service of New South Wales, (b) Fire and Rescue NSW, (c) NSW Rural Fire Service, (d) NSW Police Force, (e) State Emergency Service, (f) New South Wales Volunteer Rescue Association Incorporated, (g) New South Wales Mines Rescue Brigade established under the Coal Industry Act 2001, (h) an accredited rescue unit within the meaning of the State Emergency and Rescue Management Act 1989."
Entertainment Facility,,"Means a theatre, cinema, music hall, concert hall, dance hall and the like, but does not include a pub or registered club."
Environmental Facility,,"Means a building or place that provides for the recreational use or scientific study of natural systems, and includes walking tracks, seating, shelters, board walks, observation decks, bird hides or the like, and associated display structures."
Environmental Protection Works,No,"Means works associated with the rehabilitation of land towards its natural state or any work to protect land from environmental degradation, and includes bush regeneration works, wetland protection works, erosion protection works, dune restoration works and the like, but does not include coastal protection works."
Environmentally Sensitive Area,No,Has the same meaning as in clause 1.5 of State Environmental Planning Policy (Exempt and Complying Development Codes) 2008.
Environmentally Sensitive Area For Exempt Or Complying Development,No,"Means any of the following— (a) the coastal waters of the State, (b) a coastal lake, (c) land within the coastal wetlands and littoral rainforests area (within the meaning of the Coastal Management Act 2016), (d) land reserved as an aquatic reserve under the Fisheries Management Act 1994 or as a marine park under the Marine Parks Act 1997, (e) land within a wetland of international significance declared under the Ramsar Convention on Wetlands or within a World heritage area declared under the World Heritage Convention, (f) land within 100 metres of land to which paragraph (c), (d) or (e) applies, (g) land identified in this or any other environmental planning instrument as being of high Aboriginal cultural significance or high biodiversity significance, (h) land reserved under the National Parks and Wildlife Act 1974 or land acquired under Part 11 of that Act, (i) land reserved or dedicated under the Crown Land Management Act 2016 for the preservation of flora, fauna, geological formations or for other environmental protection purposes, (j) land that is a declared area of outstanding biodiversity value under the Biodiversity Conservation Act 2016 or declared critical habitat under Part 7A of the Fisheries Management Act 1994.Direction— Additional areas may be added to this list."
Estuary,No,"Has the same meaning as in the Water Management Act 2000.Note— The term is defined as follows— estuary means— (a) any part of a river whose level is periodically or intermittently affected by coastal tides, or (b) any lake or other partially enclosed body of water that is periodically or intermittently open to the sea, or (c) anything declared by the regulations (under the Water Management Act 2000) to be an estuary, but does not include anything declared by the regulations (under the Water Management Act 2000) not to be an estuary."
Excavation,No,"Means the removal of soil or rock, whether moved to another part of the same site or to another site, but does not include garden landscaping that does not significantly alter the shape, natural form or drainage of the land."
Exhibition Home,,"Means a dwelling built for the purposes of the public exhibition and marketing of new dwellings, whether or not it is intended to be sold as a private dwelling after its use for those purposes is completed, and includes any associated sales or home finance office or place used for displays."
Exhibition Village,,"Means 2 or more exhibition homes and associated buildings and places used for house and land sales, site offices, advisory services, car parking, food and drink sales and other associated purposes."
Extensive Agriculture,,—see the definition of that term in this Dictionary.
Extensive Aquaculture,,Has the same meaning as in the Fisheries Management (Aquaculture) Regulation 2017.
Extractive Industry,,"Means the winning or removal of extractive materials (otherwise than from a mine) by methods such as excavating, dredging, tunnelling or quarrying, including the storing, stockpiling or processing of extractive materials by methods such as recycling, washing, crushing, sawing or separating, but does not include turf farming.Note— Extractive industries are not a type of industry—see the definition of that term in this Dictionary."
Extractive Material,No,"Means sand, soil, gravel, rock or similar substances that are not minerals within the meaning of the Mining Act 1992."
Farm Building,,"Means a structure the use of which is ancillary to an agricultural use of the landholding on which it is situated and includes a hay shed, stock holding yard, machinery shed, shearing shed, silo, storage tank, outbuilding or the like, but does not include a dwelling."
Farm Experience Premises,,"Means a building or place— (a) on a commercial farm, and (b) ancillary to the farm, and (c) used to provide visitors to the farm, on a commercial basis, with small-scale and low-impact tourist or recreational activities, including the following, but not including motor sports— (i) horse riding, (ii) farm tours, (iii) functions or conferences, (iv) farm field days.Note— Farm experience premises are a type of agritourism—see the definition of that term in this Dictionary."
Farm Gate Premises,,—see the definition of that term in this Dictionary.
Farm Stay Accommodation,,"Means a building or place— (a) on a commercial farm, and (b) ancillary to the farm, and (c) used to provide temporary accommodation to paying guests of the farm, including in buildings or moveable dwellings.Note— Farm stay accommodation is a type of tourist and visitor accommodation—see the definition of that term in this Dictionary."
Feedlot,,"Means a confined or restricted area that is operated on a commercial basis to rear and fatten cattle, sheep or other animals, but does not include a poultry farm, dairy or pig farm.Note— Feedlots are a type of intensive livestock agriculture.Intensive livestock agriculture does not include extensive agriculture.See the definitions of those terms in this Dictionary."
Fill,No,"Means the depositing of soil, rock or other similar extractive material obtained from the same or another site, but does not include— (a) the depositing of topsoil or feature rock imported to the site that is intended for use in garden landscaping, turf or garden bed establishment or top dressing of lawns and that does not significantly alter the shape, natural form or drainage of the land, or (b) the use of land as a waste disposal facility."
Filming,,"Means recording images (whether on film or video tape or electronically or by other means) for exhibition or broadcast (such as by cinema, television or the internet or by other means), but does not include— (a) still photography, or (b) recording images of a wedding ceremony or other private celebration or event principally for the purpose of making a record for the participants in the ceremony, celebration or event, or (c) recording images as a visitor or tourist for non-commercial purposes, or (d) recording for the immediate purposes of a television program that provides information by way of current affairs or daily news."
Fish,,"Has the same meaning as in the Fisheries Management Act 1994.Note— The term is defined as follows— Definition of “fish” (1) Fish means marine, estuarine or freshwater fish or other aquatic animal life at any stage of their life history (whether alive or dead).(2) Fish includes— (a) oysters and other aquatic molluscs, and (b) crustaceans, and (c) echinoderms, and (d) beachworms and other aquatic polychaetes.(3) Fish also includes any part of a fish.(4) However, fish does not include whales, mammals, reptiles, birds, amphibians or other things excluded from the definition by the regulations under the Fisheries Management Act 1994."
Flood Mitigation Work,,"Means work designed and constructed for the express purpose of mitigating flood impacts.It involves changing the characteristics of flood behaviour to alter the level, location, volume, speed or timing of flood waters to mitigate flood impacts.Types of works may include excavation, construction or enlargement of any fill, wall, or levee that will alter riverine flood behaviour, local overland flooding, or tidal action so as to mitigate flood impacts."
Flood Planning Area,No,Has the same meaning as in clause 5.21.
Flood Risk Management Manual,No,"Means the Flood Risk Management Manual, ISBN 978-1-923076-17-4, published by the NSW Government in June 2023."
Floor Space Ratio,No,", (b) to set out rules for the calculation of the site area of development for the purpose of applying permitted floor space ratios, including rules to— (i) prevent the inclusion in the site area of an area that has no significant development being carried out on it, and (ii) prevent the inclusion in the site area of an area that has already been included as part of a site area to maximise floor space area in another building, and (iii) require community land and public places to be dealt with separately."
Floor Space Ratio Map,No,Means the [Name of local government area or other relevant name] Local Environmental Plan [Year] Floor Space Ratio Map.
Food And Drink Premises,,"Means premises that are used for the preparation and retail sale of food or drink (or both) for immediate consumption on or off the premises, and includes any of the following— (a) a restaurant or cafe, (b) take away food and drink premises, (c) a pub, (d) a small bar.Note— Food and drink premises are a type of retail premises—see the definition of that term in this Dictionary."
Forestry,,Means forestry operations within the meaning of the Forestry Act 2012 or Part 5B of the Local Land Services Act 2013.
Freight Transport Facility,,"Means a facility used principally for the bulk handling of goods for transport by road, rail, air or sea, including any facility for the loading and unloading of vehicles, aircraft, vessels or containers used to transport those goods and for the parking, holding, servicing or repair of those vehicles, aircraft or vessels or for the engines or carriages involved."
Function Centre,,"Means a building or place used for the holding of events, functions, conferences and the like, and includes convention centres, exhibition centres and reception centres, but does not include an entertainment facility."
Funeral Home,,"Means premises that are used to arrange, conduct and cater for funerals and memorial services, whether or not the premises include facilities for the short-term storage, dressing and viewing of bodies of deceased persons.Note— Funeral homes are a type of business premises—see the definition of that term in this Dictionary."
Garden Centre,,"Means a building or place the principal purpose of which is the retail sale of plants and landscaping and gardening supplies and equipment.It may include a restaurant or cafe and the sale of any of the following— (a) outdoor furniture and furnishings, barbecues, shading and awnings, pools, spas and associated supplies, and items associated with the construction and maintenance of outdoor areas, (b) pets and pet supplies, (c) fresh produce.Note— Garden centres are a type of retail premises—see the definition of that term in this Dictionary."
General Industry,,Means a building or place (other than a heavy industry or light industry) that is used to carry out an industrial activity.Note— General industries are a type of industry—see the definition of that term in this Dictionary.
Goods Repair And Reuse Premises,,"Means a building or place the principal purpose of which is to collect, repair or refurbish goods, including furniture and appliances, for the purposes of sale, hire or swap, and includes premises known as op shops.Note— Goods repair and reuse premises are a type of business premises—see the definition of that term in this Dictionary."
Gross Floor Area,No,"Means the sum of the floor area of each floor of a building measured from the internal face of external walls, or from the internal face of walls separating the building from any other building, measured at a height of 1.4 metres above the floor, and includes— (a) the area of a mezzanine, and (b) habitable rooms in a basement or an attic, and (c) any shop, auditorium, cinema, and the like, in a basement or attic, but excludes— (d) any area for common vertical circulation, such as lifts and stairs, and (e) any basement— (i) storage, and (ii) vehicular access, loading areas, garbage and services, and (f) plant rooms, lift towers and other areas used exclusively for mechanical services or ducting, and (g) car parking to meet any requirements of the consent authority (including access to that car parking), and (h) any space used for the loading or unloading of goods (including access to it), and (i) terraces and balconies with outer walls less than 1.4 metres high, and (j) voids above a floor at the level of a storey or storey above."
Ground Level (existing),No,Means the existing level of a site at any point.
Ground Level (finished),No,"Means, for any point on a site, the ground surface after completion of any earthworks (excluding any excavation for a basement, footings or the like) for which consent has been granted or that is exempt development."
Ground Level (mean),No,"Means, for any site on which a building is situated or proposed, one half of the sum of the highest and lowest levels at ground level (finished) of the outer surface of the external walls of the building."
Group Home,,Means a permanent group home or a transitional group home.Note— Group homes are a type of residential accommodation—see the definition of that term in this Dictionary.
Group Home (permanent),,"Or permanent group home means a dwelling— (a) that is occupied by persons as a single household with or without paid supervision or care and whether or not those persons are related or payment for board and lodging is required, and (b) that is used to provide permanent household accommodation for people with a disability or people who are socially disadvantaged, but does not include development to which State Environmental Planning Policy (Housing) 2021, Chapter 3, Part 5 applies.Note— Permanent group homes are a type of group home—see the definition of that term in this Dictionary."
Group Home (transitional),,"Or transitional group home means a dwelling— (a) that is occupied by persons as a single household with or without paid supervision or care and whether or not those persons are related or payment for board and lodging is required, and (b) that is used to provide temporary accommodation for the relief or rehabilitation of people with a disability or for drug or alcohol rehabilitation purposes, or that is used to provide half-way accommodation for persons formerly living in institutions or temporary accommodation comprising refuges for men, women or young people, but does not include development to which State Environmental Planning Policy (Housing) 2021, Chapter 3, Part 5 applies.Note— Transitional group homes are a type of group home—see the definition of that term in this Dictionary."
Hardware And Building Supplies,,"Means a building or place the principal purpose of which is the sale or hire of goods or materials, such as household fixtures, timber, tools, paint, wallpaper, plumbing supplies and the like, that are used in the construction and maintenance of buildings and adjacent outdoor areas.Note— Hardware and building supplies are a type of retail premises—see the definition of that term in this Dictionary."
Hazardous Industry,,"Means a building or place used to carry out an industrial activity that would, when carried out and when all measures proposed to reduce or minimise its impact on the locality have been employed (including, for example, measures to isolate the activity from existing or likely future development on other land in the locality), pose a significant risk in the locality— (a) to human health, life or property, or (b) to the biophysical environment.Note— Hazardous industries are a type of heavy industry—see the definition of that term in this Dictionary."
Hazardous Storage Establishment,,"Means a building or place that is used for the storage of goods, materials or products and that would, when in operation and when all measures proposed to reduce or minimise its impact on the locality have been employed (including, for example, measures to isolate the building or place from existing or likely future development on other land in the locality), pose a significant risk in the locality— (a) to human health, life or property, or (b) to the biophysical environment.Note— Hazardous storage establishments are a type of heavy industrial storage establishment—see the definition of that term in this Dictionary."
Headland,No,"Includes a promontory extending from the general line of the coastline into a large body of water, such as a sea, coastal lake or bay."
Health Care Professional,,Means any person registered under an Act for the purpose of providing health care.
Health Consulting Rooms,,Means premises comprising one or more rooms within (or within the curtilage of) a dwelling house used by not more than 3 health care professionals at any one time.Note— Health consulting rooms are a type of health services facility—see the definition of that term in this Dictionary.
Health Services Facility,,—see the definition of that term in this Dictionary.
Heavy Industrial Storage Establishment,,—see the definition of that term in this Dictionary.
Heavy Industry,,—see the definition of that term in this Dictionary.
Height Of Buildings Map,No,Means the [Name of local government area or other relevant name] Local Environmental Plan [Year] Height of Buildings Map.
Helipad,,Means a place not open to the public used for the taking off and landing of helicopters.
Heliport,,"Means a place open to the public that is used for the taking off and landing of helicopters, whether or not it includes— (a) a terminal building, or (b) facilities for the parking, storage or repair of helicopters.Note— Heliports are a type of air transport facility—see the definition of that term in this Dictionary."
Heritage Conservation Area,,"Means an area of land of heritage significance— (a) shown on the Heritage Map as a heritage conservation area, and (b) the location and nature of which is described in Schedule 5, and includes any heritage items situated on or within that area."
Heritage Conservation Management Plan,No,"Means a document prepared in accordance with guidelines prepared by the Public Service agency responsible to the Minister administering the Heritage Act 1977 that documents the heritage significance of an item, place or heritage conservation area and identifies conservation policies and management mechanisms that are appropriate to enable that significance to be retained."
Heritage Impact Statement,,"Means a document consisting of— (a) a statement demonstrating the heritage significance of a heritage item or heritage conservation area, and (b) an assessment of the impact that proposed development will have on that significance, and (c) proposals for measures to minimise that impact."
Heritage Item,,"Means a building, work, place, relic, tree, object or archaeological site the location and nature of which is described in Schedule 5.Note— An inventory of heritage items is also available at the office of the Council.Direction— Heritage items must be shown on the Heritage Map."
Heritage Management Document,No,"Means— (a) a heritage conservation management plan, or (b) a heritage impact statement, or (c) any other document that provides guidelines for the ongoing management and conservation of a heritage item, Aboriginal object, Aboriginal place of heritage significance or heritage conservation area."
Heritage Map,No,Means the [Name of local government area or other relevant name] Local Environmental Plan [Year] Heritage Map.
Heritage Significance,,"Means historical, scientific, cultural, social, archaeological, architectural, natural or aesthetic value."
High Technology Industry,,—see the definition of that term in this Dictionary.
Highway Service Centre,,"Means a building or place used to provide refreshments and vehicle services to highway users.It may include any one or more of the following— (a) a restaurant or cafe, (b) take away food and drink premises, (c) service stations and facilities for emergency vehicle towing and repairs, (d) parking for vehicles, (e) rest areas and public amenities."
Home Business,,"Means a business, whether or not involving the sale of items online, carried on in a dwelling, or in a building ancillary to a dwelling, by 1 or more permanent residents of the dwelling and not involving the following— (a) the employment of more than 2 persons other than the residents, (b) interference with the amenity of the neighbourhood because of the emission of noise, vibration, smell, fumes, smoke, vapour, steam, soot, ash, dust, waste water, waste products, grit or oil, traffic generation or otherwise, (c) the exposure to view, from adjacent premises or from a public place, of unsightly matter, (d) the exhibition of signage, other than a business identification sign, (e) the retail sale of, or the exposure or offer for retail sale of, items, whether goods or materials, not produced at the dwelling or building, other than by online retailing, but does not include bed and breakfast accommodation, home occupation (sex services) or sex services premises.Note— See clause 5.4 for controls relating to the floor area used for a home business."
Home Industry,,"Means an industrial activity, whether or not involving the sale of items online, carried on in a dwelling, or in a building ancillary to a dwelling, by 1 or more permanent residents of the dwelling and not involving the following— (a) the employment of more than 2 persons other than the residents, (b) interference with the amenity of the neighbourhood because of the emission of noise, vibration, smell, fumes, smoke, vapour, steam, soot, ash, dust, waste water, waste products, grit or oil, traffic generation or otherwise, (c) the exposure to view, from adjacent premises or from a public place, of unsightly matter, (d) the exhibition of signage, other than a business identification sign, (e) the retail sale of, or the exposure or offer for retail sale of, items, whether goods or materials, not produced at the dwelling or building, other than by online retailing, but does not include bed and breakfast accommodation or sex services premises.Note— See clause 5.4 for controls relating to the floor area used for a home industry.Home industries are a type of light industry—see the definition of that term in this Dictionary."
Home Occupation,,"Means an occupation that is carried on in a dwelling, or in a building ancillary to a dwelling, by one or more permanent residents of the dwelling and that does not involve— (a) the employment of persons other than those residents, or (b) interference with the amenity of the neighbourhood by reason of the emission of noise, vibration, smell, fumes, smoke, vapour, steam, soot, ash, dust, waste water, waste products, grit or oil, traffic generation or otherwise, or (c) the display of goods, whether in a window or otherwise, or (d) the exhibition of any signage (other than a business identification sign), or (e) the sale of items (whether goods or materials), or the exposure or offer for sale of items, by retail, but does not include bed and breakfast accommodation, home occupation (sex services) or sex services premises."
Home Occupation (sex Services),,And sex services premises in this Dictionary.
